Profile Name,Esn,Device Type,Acct First Playback Date,Acct Last Playback Date,Acct First Playback Date For User Generated Plays,Acct Last Playback Date For User Generated Plays,Profile First Playback Date,Profile Last Playback Date,Profile First Playback Date For User Generated Plays,Profile Last Playback Date For User Generated Plays,Deactivation Time
Amy,NFCDCH-02-HMEEZ8VLYFU68HAUP2TM3P1RQQJLQL,Chrome PC (Cadmium),,,,,,,,,
Amy,NFAPPL-02-IPHONE12=1-4565BDFCC0E6AA3151E0209A980FA7A756F8999FE5F351E1053D0E810CD91581,Apple iPhone 11,2021-09-26T17:10:31.227Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,2021-10-02T09:32:10.804Z,,,,,
Amy,WWW-BROWSE-HKWWAU2F40LLJ5HF50XA94FE2NJNCT,Netflix WWW-BROWSER UNSUPPORTED BROWSER,,,,,,,,,
Daddy,NFAPPL-02-IPHONE12=1-E6A8FE71C6673D0E3FB6A7DA6AB2EED0FE6D2C4B95EE2B1A1DA1B03A1738C92D,Apple iPhone 11,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,2020-01-19T17:39:58.278Z,2021-08-29T17:53:12.847Z,
Raj,NFANDROID1-PRV-P-L3-SAMSUSM-A505F-8158-0F90CB59241E3C80559F64919887DFDDD1D0D0DFDFA54C19ABED7C2B36FEFDFC2,Android DefaultWidevineL3Phone Android Phone,2020-08-02T17:58:47.551Z,2021-08-23T19:53:14.045Z,2020-08-02T17:58:47.551Z,2021-08-23T19:53:14.045Z,2020-08-02T17:58:47.551Z,2021-08-23T19:53:14.045Z,2020-08-02T17:58:47.551Z,2021-08-23T19:53:14.045Z,
Daddy,NFCDIE-03-H77QT5Q081CQC3K716PTYKN91EY4WE,Edge OSS - Windows (Cadmium),2021-04-12T05:50:02.890Z,2022-01-04T11:15:16.223Z,2021-04-12T06:31:11.961Z,2022-01-04T11:15:16.223Z,2021-08-23T07:43:13.446Z,2021-08-23T07:43:13.446Z,,,
Daddy,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-08-07T18:40:38.515Z,2021-08-07T18:41:06.432Z,2021-08-07T18:41:06.432Z,2021-08-07T18:41:06.432Z,
Amy,NFANDROID1-PRV-P-L3-SAMSUSM-M115F-8158-07AAFCCF9A1EE688C7B84323B9BA7CD621794DE84DA881A2DF3EF3BD209D13359,Android DefaultWidevineL3Phone Android Phone,2021-08-04T07:25:08.870Z,2021-08-04T07:27:33.286Z,2021-08-04T07:25:08.870Z,2021-08-04T07:27:33.286Z,2021-08-04T07:25:08.870Z,2021-08-04T07:27:33.286Z,2021-08-04T07:25:08.870Z,2021-08-04T07:27:33.286Z,
Big Mummy,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,,,,,
Raj,NFAPPL-02-IPHONE10=1-534FC20EE11058A98544932A5A2580D41DAE48CB286D19DD40030655BB0D9C3F,Apple iPhone 8 (CDMA),2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,2021-05-31T18:55:02.105Z,2022-01-04T15:48:41.674Z,,,,,
