Profile Name,Sent Utc Ts,Message Name,Channel,Country Iso Code,Account Locale,Email Locale,Title Name,Email Domain Name,Link Url,Click Utc Ts,Device Model,Click Cnt
Raj,2018-12-13 08:03:16,INAPP_AFTERGLOW,NOTIFICATIONS,IN,,,F is for Family,SURESHTKUMAR.COM,,,windows-uwa,0
Raj,2018-12-13 07:30:17,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,Bad Blood,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-13 07:30:16,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,Bad Blood,SURESHTKUMAR.COM,,,,0
Raj,2018-12-07 10:43:30,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Mowgli: Legend of the Jungle,SURESHTKUMAR.COM,,,,0
Raj,2018-12-07 10:43:30,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Mowgli: Legend of the Jungle,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-06 07:37:17,PUSH_COMING_SOON,PUSH,IN,en-GB,en-GB,Serenity,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-12-01 07:29:23,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,IN,,,F is for Family,SURESHTKUMAR.COM,,2018-12-03 17:59:17,HUAWEI_BND-AL10,1
Raj,2018-12-01 07:29:23,PUSH_NEW_SEASON_ALERT,PUSH,IN,en-GB,en-GB,F is for Family,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-11-29 07:49:17,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,Mowgli: Legend of the Jungle,SURESHTKUMAR.COM,,,windows-uwa,0
Raj,2018-11-29 07:49:17,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,Mowgli: Legend of the Jungle,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-11-20 06:35:10,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,IN,,,Outlaw King,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-11-18 07:35:12,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,The Sinner,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-11-18 07:35:10,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,The Sinner,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-11-16 12:53:23,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Narcos: Mexico,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-11-16 12:12:35,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Narcos: Mexico,SURESHTKUMAR.COM,,,windows-uwa,0
Raj,2018-11-16 07:56:07,PUSH_COMING_SOON,PUSH,IN,en-GB,en-GB,Vai Anitta,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-11-08 08:02:21,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,Narcos: Mexico,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-11-08 08:02:21,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,Narcos: Mexico,SURESHTKUMAR.COM,,2018-11-08 08:07:28,HUAWEI_BND-AL10,1
Raj,2018-11-01 07:56:18,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,Outlaw King,SURESHTKUMAR.COM,,,,0
Raj,2018-11-01 07:56:18,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,Outlaw King,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-26 10:00:50,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Chilling Adventures of Sabrina,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-26 10:00:50,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Chilling Adventures of Sabrina,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-26 07:26:12,PUSH_COMING_SOON,PUSH,IN,en-GB,en-GB,Chilling Adventures of Sabrina,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-24 08:04:14,INAPP_NEW_ARRIVALS,NOTIFICATIONS,IN,,,Bodyguard,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-24 08:04:14,PUSH_NEW_ARRIVALS,PUSH,IN,en-GB,en-GB,Bodyguard,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-18 08:26:40,PUSH_ORIGINALS_PREPROMOTE,PUSH,IN,en-GB,en-GB,Chilling Adventures of Sabrina,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-18 08:26:39,INAPP_ORIGINALS_PREPROMOTE,NOTIFICATIONS,IN,,,Chilling Adventures of Sabrina,SURESHTKUMAR.COM,,,,0
Raj,2018-10-16 07:53:23,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,Norsemen,SURESHTKUMAR.COM,,,,0
Raj,2018-10-16 07:53:23,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,Norsemen,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-14 08:25:10,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,American Vandal,SURESHTKUMAR.COM,,,,0
Raj,2018-10-14 08:25:10,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,American Vandal,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-11 06:32:02,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,22 July,SURESHTKUMAR.COM,,,,0
Raj,2018-10-11 06:32:02,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,22 July,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-07 08:06:21,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,Fantastic Beasts and Where To Find Them,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-07 08:06:20,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,Fantastic Beasts and Where To Find Them,SURESHTKUMAR.COM,,,,0
Raj,2018-10-04 08:27:28,PUSH_WHAT_TO_WATCH_TOP_PICKS,PUSH,IN,en-GB,en-GB,Better Call Saul,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-10-04 08:27:27,INAPP_WHAT_TO_WATCH,NOTIFICATIONS,IN,,,Better Call Saul,SURESHTKUMAR.COM,,,,0
Raj,2018-10-02 08:24:29,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,Ozark,SURESHTKUMAR.COM,,,,0
Raj,2018-10-02 08:24:29,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,Ozark,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-09-27 07:43:20,INAPP_WHAT_TO_WATCH_MOVIE_NIGHT,NOTIFICATIONS,IN,,,Horsin' Around,SURESHTKUMAR.COM,,,,0
Raj,2018-09-27 07:43:20,PUSH_WHAT_TO_WATCH_MOVIE_NIGHT,PUSH,IN,en-GB,en-GB,Horsin' Around,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-09-27 07:06:09,INAPP_NEW_SEASON_ALERT,NOTIFICATIONS,IN,,,Brooklyn Nine-Nine,SURESHTKUMAR.COM,,,,0
Raj,2018-09-27 07:06:09,PUSH_NEW_SEASON_ALERT,PUSH,IN,en-GB,en-GB,Brooklyn Nine-Nine,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-09-23 07:53:06,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,Lust Stories,SURESHTKUMAR.COM,,,,0
Raj,2018-09-23 07:53:06,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,Lust Stories,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
Raj,2018-09-20 06:40:08,INAPP_WHAT_TO_WATCH_SUGGESTIONS,NOTIFICATIONS,IN,,,Final Space,SURESHTKUMAR.COM,,,,0
Raj,2018-09-20 06:40:08,PUSH_WHAT_TO_WATCH_SUGGESTIONS,PUSH,IN,en-GB,en-GB,Final Space,SURESHTKUMAR.COM,,,HUAWEI_BND-AL10,0
